time,open,high,low,close,Volume
2022-04-04,6.29,6.29,5.92,6.13,71
2022-04-11,6.05,6.09,6,6.01,52
2022-04-18,6,6,5.8,5.82,127
2022-04-25,5.72,5.72,5.61,5.61,63
2022-05-02,5.6,5.64,5.47,5.47,28
2022-05-09,5.39,5.39,4.83,5.01,43
2022-05-16,5.09,5.1,4.69,4.69,119
2022-05-23,4.7,4.77,4.69,4.77,2
2022-05-31,4.8,5,4.8,5,0
2022-06-06,4.98,4.99,4.61,4.61,153
2022-06-13,3.97,4.51,3.8,4.51,143
2022-06-21,4.16,4.16,3.95,3.98,36
2022-06-27,4.2,4.2,4.1,4.1,1
2022-07-05,4.01,4.09,3.91,3.96,378
2022-07-11,3.9,3.9,3.74,3.74,1766
2022-07-18,3.72,3.72,2.89,2.92,177
2022-07-25,2.9,3.07,2.87,2.87,349
2022-08-01,2.85,4.08,2.85,4.08,497
2022-08-08,4.01,4.12,3.9,3.98,337
2022-08-15,4.02,4.14,4,4.14,129
2022-08-22,4.12,4.19,4.12,4.19,20
2022-08-29,4.2,4.2,3.85,3.86,204
2022-09-06,3.95,4.13,3.95,4.13,4
2022-09-12,4.24,4.38,4.08,4.16,139
2022-09-19,4.15,4.21,4.03,4.07,68
2022-09-26,4.13,4.24,3.96,3.98,20
2022-10-03,4,4,3.76,3.85,42
2022-10-10,3.79,3.8,3.72,3.75,13
2022-10-17,3.44,3.44,3.09,3.19,45
2022-10-24,3.13,3.42,3.13,3.41,2
2022-10-31,3.45,3.45,3.2,3.21,49
2022-11-07,3.25,3.4,3.11,3.3,84
2022-11-14,3.3,3.3,3.1,3.14,12
2022-11-21,3.22,3.22,3.02,3.14,327
2022-11-28,3.11,3.22,2.97,2.99,239
2022-12-05,3.02,3.02,2.35,2.9,469
2022-12-12,2.79,3.03,2.45,2.54,424
2022-12-19,2.57,2.76,2.46,2.75,101
2022-12-27,3.12,3.84,3.12,3.75,10
2023-01-03,3.4,3.4,2.98,2.98,31
2023-01-09,2.99,3.01,2.84,2.93,30
2023-01-17,2.89,2.99,2.79,2.79,66
2023-01-23,2.65,2.65,2.37,2.39,12
2023-01-30,2.29,2.47,2,2.47,3
2023-02-06,2.5,2.73,2.37,2.49,20
2023-02-13,2.56,2.56,2.05,2.07,9
2023-02-21,2.03,2.47,2.03,2.43,5
2023-02-27,2.4,2.57,2.4,2.57,0
2023-03-06,2.41,2.45,2.38,2.38,25
2023-03-13,2.33,2.41,2.22,2.22,20
2023-03-20,2.14,2.14,1.95,2.07,37
2023-03-27,1.98,2.09,1.98,2.09,42
2023-04-03,2.27,2.27,2.17,2.17,34
2023-04-10,2.13,2.13,1.71,1.71,12
2023-04-17,1.6,1.75,1.6,1.69,34
2023-04-24,1.58,1.69,1.58,1.68,7
2023-05-01,1.71,1.71,1.48,1.48,30
2023-05-08,1.43,1.45,1.32,1.37,51
2023-05-15,1.34,1.35,1.02,1.17,52
2023-05-22,1.22,1.22,0.93,0.99,21
2023-05-30,0.87,0.91,0.7,0.73,47
2023-06-05,0.7,0.88,0.61,0.81,94
2023-06-12,0.83,1.11,0.83,1.11,36
2023-06-20,1.06,1.11,0.95,1.02,6
2023-06-26,1.02,1.15,1.02,1.13,0
2023-07-03,1.63,1.63,1.39,1.58,8
2023-07-10,1.44,1.54,1.22,1.25,100
2023-07-17,1.19,1.4,1.19,1.25,61
2023-07-24,1.28,1.28,1.03,1.03,0
2023-07-31,1.16,1.16,1,1.03,27
2023-08-07,1.01,1.01,0.93,0.94,12
2023-08-14,0.94,0.94,0.73,0.8,24
2023-08-21,0.8,0.87,0.8,0.86,36
2023-08-28,0.87,0.87,0.87,0.87,1
2023-09-05,0.88,0.88,0.87,0.87,0
2023-09-11,0.83,0.83,0.71,0.71,1
2023-09-18,0.81,0.85,0.74,0.82,10
2023-09-25,0.79,0.79,0.74,0.77,0
2023-10-02,0.75,0.77,0.74,0.77,0
2023-10-09,0.77,0.77,0.75,0.75,0
2023-10-16,0.72,0.75,0.72,0.73,4
2023-10-23,0.75,0.75,0.53,0.53,0
2023-10-30,0.57,0.59,0.56,0.59,4
2023-11-06,0.59,0.61,0.47,0.61,8
2023-11-13,0.74,0.85,0.68,0.85,14
2023-11-20,0.58,0.72,0.58,0.72,263
2023-11-27,0.64,0.72,0.53,0.71,2520
2023-12-04,0.55,0.7,0.55,0.69,555
2023-12-11,0.7,0.72,0.54,0.6,1478
2023-12-18,0.59,0.66,0.32,0.66,619
2023-12-26,0.63,0.63,0.59,0.59,2
2024-01-02,0.53,0.55,0.53,0.55,0
2024-01-08,0.56,0.75,0.56,0.75,8
2024-01-16,0.7,0.7,0.61,0.61,9
2024-01-22,0.62,0.69,0.56,0.69,11
2024-01-29,0.73,0.79,0.73,0.74,0
2024-02-05,0.75,0.75,0.72,0.74,0
2024-02-12,0.74,0.76,0.74,0.76,2
2024-02-20,0.74,0.81,0.74,0.81,4
2024-02-26,0.85,0.85,0.74,0.77,4
2024-03-04,0.79,0.79,0.4,0.5,49
2024-03-11,0.5,0.7,0.5,0.7,12
2024-03-18,0.63,0.8,0.63,0.76,10
2024-03-25,0.56,0.7,0.56,0.7,7
2024-04-01,0.69,0.75,0.64,0.64,2
2024-04-08,0.64,0.65,0.6,0.6,18
2024-04-15,0.6,0.6,0.44,0.44,7
2024-04-22,0.42,0.57,0.42,0.57,10
2024-04-29,0.57,0.57,0.54,0.54,0
2024-05-06,0.53,0.53,0.53,0.53,0
2024-05-13,0.53,0.53,0.53,0.53,0
2024-05-20,0.53,0.53,0.46,0.47,3
2024-05-28,0.48,0.48,0.48,0.48,2
2024-06-03,0.45,0.45,0.45,0.45,2
2024-06-10,0.45,0.45,0.45,0.45,0
2024-06-17,0.46,0.46,0.36,0.36,3
2024-06-24,0.36,0.43,0.35,0.41,2
2024-07-01,0.41,0.41,0.37,0.37,0
2024-07-08,0.37,0.41,0.37,0.41,0
2024-07-15,0.41,0.41,0.23,0.26,22
2024-07-22,0.28,0.29,0.25,0.25,5
2024-07-29,0.25,0.25,0.23,0.23,0
2024-08-05,0.23,0.23,0.21,0.23,0
2024-08-12,0.24,0.25,0.23,0.25,0
2024-08-19,0.27,0.27,0.2,0.2,4
2024-08-26,0.2,0.27,0.2,0.22,0
2024-09-03,0.22,0.23,0.22,0.22,0
2024-09-09,0.22,0.23,0.22,0.23,0
2024-09-16,0.25,0.25,0.25,0.25,0
2024-09-23,0.26,0.35,0.26,0.35,0
2024-09-30,0.33,0.38,0.33,0.38,0
